Nombre,Nombre del Equipo,Posición,Lo que ha subido,Porcentaje Subido,Precio Total,Sube de Precio,Baja de Precio
José Luis Gayà,Valencia,Defensa,+1.205.000,"11,9%",10.111.000,True,
Sergi Cardona,UD Las Palmas,Defensa,+1.138.000,"14,0%",8.149.000,True,
Rodrigo Riquelme,Atletico de Madrid,Mediocentro,+1.131.000,"25,6%",4.416.000,True,
Koke,Atletico de Madrid,Mediocentro,+1.127.000,"12,8%",8.795.000,True,
Diego López,Valencia,Delantero,+1.104.000,"12,4%",8.915.000,True,
Kirian Rodríguez,UD Las Palmas,Mediocentro,+1.067.000,"10,9%",9.821.000,True,
Lucas Ocampos,Sevilla,Delantero,+1.058.000,"10,5%",10.101.000,True,
Óscar De Marcos,Atletic de Bilbao,Defensa,+1.045.000,"12,8%",8.147.000,True,
Daley Blind,Girona,Defensa,+1.014.000,"12,1%",8.394.000,True,
Fermín López,Barça,Mediocentro,+1.013.000,"26,5%",3.827.000,True,
Axel Witsel,Atletico de Madrid,Defensa,+1.011.000,"11,3%",8.936.000,True,
Fran Pérez,Valencia,Mediocentro,+999.000,"24,0%",4.167.000,True,
Álvaro Morata,Atletico de Madrid,Delantero,+993.000,"6,8%",14.687.000,True,
Chris Ramos,Cadiz,Delantero,+966.000,"10,3%",9.371.000,True,
Willian José,Real Betis,Delantero,+956.000,"23,4%",4.084.000,True,
João Félix,Barça,Delantero,+940.000,"6,4%",14.670.000,True,
Gabriel Paulista,Valencia,Defensa,+939.000,"18,5%",5.072.000,True,
Yan Couto,Girona,Defensa,+920.000,"12,4%",7.426.000,True,
Samuel Costa,Mallorca,Mediocentro,+901.000,"10,9%",8.269.000,True,
Sávio,Girona,Delantero,+875.000,"6,7%",13.010.000,True,
Mikel Oyarzabal,Real Sociedad,Delantero,+873.000,"6,5%",13.487.000,True,
Diego Rico,Getafe,Defensa,+868.000,"15,0%",5.772.000,True,
Stefan Savić,Atletico de Madrid,Defensa,+864.000,"19,3%",4.476.000,True,
